Müügiloa number;Müügiloa staatus;H/V;Ravimi nimetus;Ravimi tugevus;Ravimvorm;ATC kood;Toimeaine;Müügiloa hoidja organisatsioon;Müügiloa hoidja organisatsiooni ORG ID;Müügiloa hoidja organisatsiooni asukoha LOC ID;Juhtumi number;Päritolumaa;Müügiloa kehtivuse alguse kuupäev;Müügiloa kehtivuse lõpu kuupäev;Ravimikaardi number;Ravimi liik;Täiendav järelevalve;Pakendi erandite alguskuupäev;Pakendi erandite lõppkuupäev;Toodetud ravimvorm;Manustatav ravimvorm;Ravimis sisalduv toimeaine;Ravimis sisalduva toimeaine tugevus;Referentstoimeaine;Referentstoimeaine tugevus;Manustamisviisid;Seade pakendis;Säilitustingimused;Pakendi suurus;Müügiloa taotluse number;Müügiloa taotluse protseduuri number;Esitamise kuupäev
929816;Valid;H;TELDIPIN;80mg, 10mg;Tablett;C09DB04;telmisartaan, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;2125;;10.01.2017;;5688;Chemical Medicinal Product;Ei;;;Tablett;Tablett;telmisartaan, amlodipiin;;telmisartaan, amlodipiin;80mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett;2125;CZ/H/0677/IA/014/G;28.06.2022
EU/1/06/370;Valid;H;EXFORGE;5mg, 160mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;17.01.2007;;2057;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;amlodipiin, valsartaan;5mg, 160mg;Suukaudne;;;56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett, 7 Tablett, 14 Tablett, 28 Tablett, 30 Tablett;1;;
837614;Valid;H;TENLORIS;5mg, 100mg;Õhukese polümeerikattega tablett;C09DB06;amlodipiin, losartaan;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;28.02.2014;;4532;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;losartaan, amlodipiin;;amlodipiin, losartaan;5mg, 100mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 10 Tablett;1;;
EU/1/09/575;Valid;H;COPALIA HCT;25mg, 160mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, valsartaan, amlodipiin;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;04.11.2009;;3310;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 5mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
EU/1/09/575;Valid;H;COPALIA HCT;160mg, 12.5mg, 5mg;Õhukese polümeerikattega tablett;C09DX01;hüdroklorotiasiid, amlodipiin, valsartaan;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;04.11.2009;;3308;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, hüdroklorotiasiid, amlodipiin;;valsartaan, hüdroklorotiasiid, amlodipiin;160mg, 12.5mg, 5mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
584308;Valid;H;COVERAM;10mg, 5mg;Tablett;C09BB04;amlodipiin, perindopriil;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;16.05.2008;;2361;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;amlodipiin, perindopriil;10mg, 5mg;Suukaudne;;Hoida pakend tihedalt suletuna, Hoida originaalpakendis, hoida niiskuse eest kaitstult;5 Tablett, 7 Tablett, 10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 120 Tablett, 500 Tablett, 84 Tablett;1;;
EU/1/06/370;Valid;H;EXFORGE;80mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;17.01.2007;;2056;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;valsartaan, amlodipiin;80mg, 5mg;Suukaudne;;;7 Tablett, 14 Tablett, 280 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett;1;;
EU/1/06/371;Valid;H;DAFIRO;160mg, 10mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;16.01.2007;;2298;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 10mg;Suukaudne;;;28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 7 Tablett, 14 Tablett, 280 Tablett;1;;
EU/1/06/372;Valid;H;COPALIA;160mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;16.01.2007;;2302;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 5mg;Suukaudne;;;90 Tablett, 98 Tablett, 280 Tablett, 7 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett;1;;
176297;Valid;H;NORVASC;5mg;Tablett;C08CA01;amlodipiin;Upjohn EESV;ORG-100023206;LOC-100032008;685;;22.08.1997;;240;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;Hoida temperatuuril kuni 25°C;30 Tablett, 4 Tablett, 10 Tablett, 14 Tablett, 20 Tablett, 300 Tablett, 500 Tablett, 28 Tablett, 50 Tablett, 60 Tablett, 98 Tablett, 100 Tablett;685;SE/H/xxxx/IA/658/G;30.05.2022
EU/1/06/372;Valid;H;COPALIA;5mg, 80mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;16.01.2007;;2301;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;5mg, 80mg;Suukaudne;;;7 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
EU/1/09/574;Valid;H;DAFIRO HCT;25mg, 5mg, 160mg;Õhukese polümeerikattega tablett;C09DX01;valsartaan, hüdroklorotiasiid, amlodipiin;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;04.11.2009;;3305;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;hüdroklorotiasiid, amlodipiin, valsartaan;25mg, 5mg, 160mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
EU/1/16/1092;Valid;H;AMLODIPINE/VALSARTAN MYLAN;5mg, 80mg;Õhukese polümeerikattega tablett;C09DB01;amlodipiin, valsartaan;Mylan Pharmaceuticals Limited;ORG-100034257;LOC-100054211;1;;22.03.2016;;5798;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, valsartaan;;amlodipiin, valsartaan;5mg, 80mg;Suukaudne;;;30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 14 Tablett, 28 Tablett;1;;
EU/1/09/574;Valid;H;DAFIRO HCT;160mg, 5mg, 12.5mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, valsartaan, hüdroklorotiasiid;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;04.11.2009;;3303;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin, hüdroklorotiasiid;;valsartaan, amlodipiin, hüdroklorotiasiid;160mg, 5mg, 12.5mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
EU/1/09/574;Valid;H;DAFIRO HCT;25mg, 160mg, 10mg;Õhukese polümeerikattega tablett;C09DX01;amlodipiin, hüdroklorotiasiid, valsartaan;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;04.11.2009;;3306;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, valsartaan, amlodipiin;;hüdroklorotiasiid, valsartaan, amlodipiin;25mg, 160mg, 10mg;Suukaudne;;;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;1;;
441504;Valid;H;HIPRES;10mg;Tablett;C08CA01;amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;9;;26.03.2004;;1289;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;60 Tablett, 90 Tablett, 30 Tablett;9;;27.06.2022
EU/1/06/371;Valid;H;DAFIRO;80mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;Novartis Europharm Limited;ORG-100007373;LOC-100010531;1;;16.01.2007;;2300;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;80mg, 5mg;Suukaudne;;;98 Tablett, 280 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 7 Tablett;1;;
911616;Valid;H;AMLODIPINE /VALSARTAN SANDOZ;160mg, 5mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;3824;;07.06.2016;;13027;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 5mg;Suukaudne;;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;7 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;3824;;23.09.2022
824513;Valid;H;FLUTENSIF;5mg, 1.5mg;Toimeainet modifitseeritult vabastav tablett;C08GA80;amlodipiin, indapamiid;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;03.10.2013;;4289;Chemical Medicinal Product;Ei;;;Toimeainet modifitseeritult vabastav tablett;Toimeainet modifitseeritult vabastav tablett;amlodipiin, indapamiid;;amlodipiin, indapamiid;5mg, 1.5mg;Suukaudne;;Hoida temperatuuril kuni 30°C;15 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 500 Tablett;1;;
;Pending;H;PERINDOPRIL ARGININE/INDAPAMIDE/AMLODIPINE TEVA;10mg, 5mg, 1.25mg;Õhukese polümeerikattega tablett;C09BX01;amlodipiin, perindopriil, indapamiid;Teva B.V.;ORG-100002999;LOC-100003164;2173;;;;8728;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, indapamiid, perindopriil;;amlodipiin, perindopriil, indapamiid;10mg, 5mg, 1.25mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;10 Tablett, 30 Tablett, 90 Tablett, 100 Tablett;2173;CZ/H/1133/002/DC;31.08.2021
527106;Valid;H;AMLODIGAMMA 10MG;10mg;Tablett;C08CA01;amlodipiin;Woerwag Pharma GmbH & Co. KG;ORG-100000454;LOC-100054619;1;;20.10.2006;;2086;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;Hoida temperatuuril kuni 25°C;10 Tablett, 20 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 98 Tablett, 100 Tablett, 300 Tablett, 500 Tablett;1;;
885415;Valid;H;TRIVERAM 20MG/5MG/5MG;20mg, 5mg;Õhukese polümeerikattega tablett;C10BX11;atorvastatiin, amlodipiin, perindopriil;Les Laboratoires Servier;ORG-100000964;LOC-100000973;2553;;16.09.2015;;9836;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;perindopriil, atorvastatiin, amlodipiin;;atorvastatiin, amlodipiin, perindopriil;20mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi, Hoida pakend tihedalt suletuna, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, hoida niiskuse eest kaitstult;30 Tablett, 90 Tablett, 100 Tablett, 28 Tablett, 84 Tablett;2553;;22.07.2022
837814;Valid;H;TENLORIS;50mg, 5mg;Õhukese polümeerikattega tablett;C09DB06;losartaan, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;28.02.2014;;4530;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;losartaan, amlodipiin;;losartaan, amlodipiin;50mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 10 Tablett;1;;
957217;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE ACCORD;20mg, 5mg;Õhukese polümeerikattega tablett;C09DB02;amlodipiin, olmesartaanmedoksomiil;Accord Healthcare B.V.;ORG-100003704;LOC-100007148;1;;08.01.2018;08.01.2023;5978;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, olmesartaanmedoksomiil;;olmesartaanmedoksomiil, amlodipiin;20mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 500 Tablett, 1000 Tablett;1;;
1017320;Valid;H;NORVASC;10mg;Tablett;C08CA01;amlodipiin;Ideal Trade Links UAB;ORG-100010645;LOC-100044049;1;Rumeenia;06.01.2021;;7864;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;Hoida temperatuuril kuni 25°C;30 Tablett;1;;
915616;Valid;H;FRAMSYL;5mg, 8mg;Kõvakapsel;C09DB07;amlodipiin, kandesartaan;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;3824;;13.09.2016;;13030;Chemical Medicinal Product;Ei;;;Kõvakapsel;Kõvakapsel;kandesartaan, amlodipiin;;amlodipiin, kandesartaan;5mg, 8mg;Suukaudne;;Hoida temperatuuril kuni 30°C;28 Kapsel, 56 Kapsel, 98 Kapsel;3824;;23.09.2022
911716;Valid;H;AMLODIPINE /VALSARTAN SANDOZ;160mg, 10mg;Õhukese polümeerikattega tablett;C09DB01;valsartaan, amlodipiin;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;3824;;07.06.2016;;13026;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;valsartaan, amlodipiin;;valsartaan, amlodipiin;160mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;7 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett;3824;;23.09.2022
1004520;Valid;H;GADUAR;40mg, 12.5mg, 5mg;Õhukese polümeerikattega tablett;C09DX03;hüdroklorotiasiid, amlodipiin, olmesartaanmedoksomiil;Zentiva k.s.;ORG-100004108;LOC-100002580;1426;;23.04.2020;23.04.2025;7337;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin, hüdroklorotiasiid;;olmesartaanmedoksomiil, hüdroklorotiasiid, amlodipiin;40mg, 12.5mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;28 Tablett, 56 Tablett, 98 Tablett;1426;ES/H/0746/1-5/IA/011;02.06.2022
589308;Valid;H;AMLODIPINE TEVA;10mg;Tablett;C08CA01;amlodipiin;Teva Pharma B.V.;ORG-100000229;LOC-100005270;1;;20.06.2008;;2533;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;10mg;Suukaudne;;Hoida temperatuuril kuni 25°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;250 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 200 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 100 Tablett, 112 Tablett, 15 Tablett, 120 Tablett;1;;
1023421;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE/HYDROCHLOROTHIAZIDE ALEMBIC;20mg, 12.5mg, 5mg;Õhukese polümeerikattega tablett;C09DX03;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;Alembic Pharmaceuticals Europe Ltd;ORG-100007006;LOC-100015977;1029;;03.03.2021;;7435;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, olmesartaanmedoksomiil, hüdroklorotiasiid;;olmesartaanmedoksomiil, hüdroklorotiasiid, amlodipiin;20mg, 12.5mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 500 Tablett, 280 Tablett, 300 Tablett;1029;EE/H/0302/IB/005/G;06.07.2022
1023721;Valid;H;OLMESARTAN MEDOXOMIL/AMLODIPINE/HYDROCHLOROTHIAZIDE ALEMBIC;40mg, 12.5mg, 10mg;Õhukese polümeerikattega tablett;C09DX03;hüdroklorotiasiid, amlodipiin, olmesartaanmedoksomiil;Alembic Pharmaceuticals Europe Ltd;ORG-100007006;LOC-100015977;1029;;03.03.2021;;7440;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;hüdroklorotiasiid, amlodipiin, olmesartaanmedoksomiil;;olmesartaanmedoksomiil, hüdroklorotiasiid, amlodipiin;40mg, 12.5mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, See ravimpreparaat ei vaja säilitamisel eritingimusi;7 Tablett, 10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 84 Tablett, 90 Tablett, 98 Tablett, 500 Tablett, 280 Tablett, 300 Tablett;1029;EE/H/0302/IB/005/G;06.07.2022
537307;Valid;H;AMLODIPIN-RATIOPHARM 5 MG;5mg;Tablett;C08CA01;amlodipiin;Ratiopharm GmbH;ORG-100001437;LOC-100006906;1;;12.02.2007;;2153;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;hoida valguse eest kaitstult, Hoida temperatuuril kuni 25°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;20 Tablett, 10 Tablett, 14 Tablett, 56 Tablett, 60 Tablett, 90 Tablett, 200 Tablett, 250 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 98 Tablett, 100 Tablett;1;;
584408;Valid;H;COVERAM;5mg, 10mg;Tablett;C09BB04;perindopriil, amlodipiin;Les Laboratoires Servier;ORG-100000964;LOC-100000973;1;;16.05.2008;;2362;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;amlodipiin, perindopriil;5mg, 10mg;Suukaudne;;Hoida pakend tihedalt suletuna, Hoida originaalpakendis, hoida niiskuse eest kaitstult;5 Tablett, 7 Tablett, 10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 84 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 120 Tablett, 500 Tablett;1;;
1051422;Valid;H;DALNESSANEO;5mg;Tablett;C09BB04;amlodipiin, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;08.02.2022;08.02.2027;7966;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, perindopriil;;perindopriil, amlodipiin;5mg;Suukaudne;;hoida valguse eest kaitstult, See ravimpreparaat ei vaja säilitamisel temperatuuri eritingimusi, Hoida originaalpakendis;10 Tablett, 30 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 120 Tablett;1;;
527206;Valid;H;AMLODIGAMMA 5MG;5mg;Tablett;C08CA01;amlodipiin;Woerwag Pharma GmbH & Co. KG;ORG-100000454;LOC-100054619;1;;20.10.2006;;2085;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin;;amlodipiin;5mg;Suukaudne;;Hoida temperatuuril kuni 25°C;300 Tablett, 28 Tablett, 500 Tablett, 30 Tablett, 50 Tablett, 98 Tablett, 100 Tablett, 10 Tablett, 20 Tablett;1;;
838714;Valid;H;PERINDOPRIL/AMLODIPINE TEVA;10mg, 5mg;Tablett;C09BB04;amlodipiin, perindopriil;Teva Pharma B.V.;ORG-100000229;LOC-100005270;1;;28.02.2014;05.02.2024;4433;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;perindopriil, amlodipiin;10mg, 5mg;Suukaudne;;hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;30 Tablett, 50 Tablett, 60 Tablett, 90 Tablett, 100 Tablett, 120 Tablett;1;;
811513;Valid;H;AMALORIS;10mg;Õhukese polümeerikattega tablett;C10BX03;atorvastatiin, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;28.03.2013;;4201;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;atorvastatiin, amlodipiin;;amlodipiin, atorvastatiin;10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, Hoida originaalpakendis, hoida niiskuse eest kaitstult;10 Tablett, 14 Tablett, 20 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 60 Tablett, 90 Tablett, 100 Tablett;1;;
1007920;Valid;H;OLSITRI;5mg, 25mg, 40mg;Õhukese polümeerikattega tablett;C09DX03;hüdroklorotiasiid, olmesartaanmedoksomiil, amlodipiin;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;25.06.2020;25.06.2025;7130;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, hüdroklorotiasiid, amlodipiin;;amlodipiin, hüdroklorotiasiid, olmesartaanmedoksomiil;5mg, 25mg, 40mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;14 Tablett, 28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett, 98 Tablett;1;;
785912;Valid;H;RAMDACORDIA;5mg;Kõvakapsel;C09BB07;amlodipiin, ramipriil;Sandoz Pharmaceuticals d.d.;ORG-100002040;LOC-100002893;2454;;04.05.2012;;9562;Chemical Medicinal Product;Ei;;;;Kõvakapsel;amlodipiin, ramipriil;;amlodipiin, ramipriil;5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;20 Kapsel, 30 Kapsel, 50 Kapsel, 100 Kapsel, 10 Kapsel, 90 Kapsel;2454;EE/H/0367/2-5/IA/029;19.07.2022
1004620;Valid;H;GADUAR;10mg, 12.5mg, 40mg;Õhukese polümeerikattega tablett;C09DX03;olmesartaanmedoksomiil, hüdroklorotiasiid, amlodipiin;Zentiva k.s.;ORG-100004108;LOC-100002580;1426;;23.04.2020;23.04.2025;7338;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;amlodipiin, hüdroklorotiasiid, olmesartaanmedoksomiil;;amlodipiin, hüdroklorotiasiid, olmesartaanmedoksomiil;10mg, 12.5mg, 40mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;28 Tablett, 56 Tablett, 98 Tablett;1426;ES/H/0746/1-5/IA/011;02.06.2022
850414;Valid;H;SOBYCOMBI;5mg, 10mg;Tablett;C07FB07;amlodipiin, bisoprolool;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;1;;15.09.2014;;4591;Chemical Medicinal Product;Ei;;;Tablett;Tablett;amlodipiin, bisoprolool;;bisoprolool, amlodipiin;5mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;28 Tablett, 30 Tablett, 56 Tablett, 60 Tablett, 84 Tablett, 90 Tablett;1;;
802012;Valid;H;DALNESSA;8mg, 10mg;Tablett;C09BB04;amlodipiin, perindopriil;KRKA, d.d., Novo mesto;ORG-100000627;LOC-100009540;10;;30.11.2012;;3747;Chemical Medicinal Product;Ei;;;Tablett;Tablett;perindopriil, amlodipiin;;perindopriil, amlodipiin;8mg, 10mg;Suukaudne;;Hoida temperatuuril kuni 30°C, hoida valguse eest kaitstult, Hoida originaalpakendis, hoida niiskuse eest kaitstult;50 Tablett, 28 Tablett, 60 Tablett, 90 Tablett, 30 Tablett, 100 Tablett;10;;27.06.2022
606208;Valid;H;SANORAL;5mg, 20mg;Õhukese polümeerikattega tablett;C09DB02;olmesartaanmedoksomiil, amlodipiin;Menarini International Operations Luxembourg S.A.;ORG-100001429;LOC-100005744;1897;;31.10.2008;;2469;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;olmesartaanmedoksomiil, amlodipiin;;amlodipiin, olmesartaanmedoksomiil;5mg, 20mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;10 Tablett, 14 Tablett, 28 Tablett, 30 Tablett, 50 Tablett, 56 Tablett, 90 Tablett, 98 Tablett, 280 Tablett, 300 Tablett, 500 Tablett;1897;DE/H/xxxx/IA/1251/G;03.03.2022
;Pending;H;PERINDOPRIL ARGININE/INDAPAMIDE/AMLODIPINE TEVA;10mg, 2.5mg, 5mg;Õhukese polümeerikattega tablett;C09BX01;perindopriil, indapamiid, amlodipiin;Teva B.V.;ORG-100002999;LOC-100003164;2174;;;;8729;Chemical Medicinal Product;Ei;;;Õhukese polümeerikattega tablett;Õhukese polümeerikattega tablett;indapamiid, amlodipiin, perindopriil;;perindopriil, indapamiid, amlodipiin;10mg, 2.5mg, 5mg;Suukaudne;;See ravimpreparaat ei vaja säilitamisel eritingimusi;30 Tablett, 90 Tablett, 100 Tablett, 10 Tablett;2174;CZ/H/1133/003/DC;31.08.2021
